Date,leaf_mar,leaf_apr,leaf_may,mwc30av,mwc60av,Station,Precip(totalmm),Airtemp(meanc),SolarRadiationMJm-2,RelativeHumidity(%),VaporPressureDeficit(Pa)
2000-01-01,0.0,0.0,0.0,0.182,0.21464583333333334,CS01,0.0,9.7,7.86404,81.125,229.41801567026195
2000-01-02,0.0,0.0,0.0,0.17785416666666665,0.21252083333333333,CS01,0.0,13.1,8.11502,77.125,357.3492607779579
2000-01-03,0.0,0.0,0.0,0.17608333333333331,0.21052083333333332,CS01,1.52,13.9,5.18692,83.125,285.31015714285707
2000-01-04,0.0,0.0,0.0,0.22541666666666668,0.2315625,CS01,11.18,14.2,9.16077,66.5,480.7753759398496
2000-01-05,0.0,0.0,0.0,0.22370833333333334,0.23372916666666665,CS01,0.0,3.1,11.79606,55.791667,271.42397831088493
2000-01-06,0.0,0.0,0.0,0.21291666666666664,0.22639583333333332,CS01,0.0,2.0,11.79606,69.833333,165.98866611092444
2000-01-07,0.0,0.0,0.0,0.20525,0.22147916666666667,CS01,0.0,4.2,11.37776,76.875,136.05521780487803
2000-01-08,0.0,0.0,0.0,0.20037499999999997,0.21829166666666666,CS01,0.76,3.4,6.90195,78.166667,150.0517907366305
2000-01-09,0.0,0.0,0.0,0.24802083333333333,0.26466666666666666,CS01,26.67,8.1,1.79869,99.916667,0.9627428513892866
2000-01-10,0.0,0.0,0.0,0.27547916666666666,0.3188125,CS01,35.56,11.7,12.21436,74.916667,358.1280526017661
2000-01-11,0.0,0.0,0.0,0.23858333333333331,0.28252083333333333,CS01,0.0,10.0,12.17253,49.25,579.9325330456854
2000-01-12,0.0,0.0,0.0,0.22595833333333334,0.26597916666666666,CS01,0.0,8.9,11.62874,77.708333,207.85634799437952
2000-01-13,0.0,0.0,0.0,0.21616666666666667,0.25477083333333334,CS01,0.76,11.7,12.29802,50.041667,745.8392179239131
2000-01-14,0.0,0.0,0.0,0.21666666666666665,0.2477916666666667,CS01,0.0,1.4,12.92547,42.625,318.28262014662755
2000-01-15,0.0,0.0,0.0,0.21166666666666667,0.24327083333333333,CS01,0.0,2.2,12.92547,55.208333,236.6014182836312
2000-01-16,0.0,0.0,0.0,0.20466666666666666,0.2386458333333333,CS01,0.76,3.9,3.47189,81.833333,179.9554521001241
2000-01-17,0.0,0.0,0.0,0.20147916666666665,0.23491666666666666,CS01,0.25,6.4,8.61698,81.666667,175.242343037276
2000-01-18,0.0,0.0,0.0,0.24472916666666666,0.25933333333333336,CS01,12.7,8.1,8.03136,91.25,71.40239726027399
2000-01-19,0.0,0.0,0.0,0.23683333333333334,0.25685416666666666,CS01,7.62,4.5,7.06927,71.0,206.79518915492957
2000-01-20,0.0,0.0,0.0,0.2640416666666667,0.27308333333333334,CS01,1.52,3.1,14.05488,63.458333,262.31782687647797
2000-01-21,0.0,0.0,0.0,0.24141666666666667,0.259875,CS01,0.0,-2.8,13.97122,40.625,249.9839792307692
2000-01-22,0.0,0.0,0.0,0.232625,0.25102083333333336,CS01,21.34,-3.9,2.38431,72.916667,120.6678551060898
2000-01-23,0.0,0.0,0.0,0.23131250000000003,0.25604166666666667,CS01,11.68,-0.9,2.30065,99.916667,0.6502615085340224
2000-01-24,0.0,0.0,0.0,0.24789583333333334,0.27070833333333333,CS01,0.0,2.8,4.47581,85.458333,141.6447711469974
2000-01-25,0.0,0.0,0.0,0.25097916666666664,0.26447916666666665,CS01,0.0,0.0,12.79998,46.625,274.84070217158177
2000-01-26,0.0,0.0,0.0,0.24145833333333333,0.25579166666666664,CS01,0.0,-4.8,14.47318,50.916667,183.6809200214561
2000-01-27,0.0,0.0,0.0,0.2356666666666667,0.24875,CS01,0.0,-5.3,15.26795,63.916667,128.17345722182463
2000-01-28,0.0,0.0,0.0,0.24685416666666665,0.24370833333333336,CS01,0.0,-0.3,10.62482,53.166667,236.3321575572173
2000-01-29,0.0,0.0,0.0,0.25420833333333337,0.24418749999999997,CS01,12.19,0.3,1.50588,89.916667,60.542050600863554
2000-01-30,0.0,0.0,0.0,0.2861666666666667,0.28139583333333335,CS01,6.6,2.8,6.52548,94.666667,35.49999765625005
2000-01-31,0.0,0.0,0.0,0.27416666666666667,0.28160416666666666,CS01,0.0,-1.4,14.01305,73.541667,127.85445956609873
2000-02-01,0.0,0.0,0.0,0.26716666666666666,0.274375,CS01,0.0,-1.4,14.84965,72.166667,136.3383349199153
2000-02-02,0.0,0.0,0.0,0.2612291666666667,0.2730416666666666,CS01,0.0,0.3,15.76991,72.75,126.5423813402062
2000-02-03,0.0,0.0,0.0,0.2547291666666667,0.2782708333333333,CS01,0.0,2.2,15.18429,65.625,202.29960142857135
2000-02-04,0.0,0.0,0.0,0.2501041666666667,0.2834375,CS01,0.0,3.9,11.04312,59.458333,285.8940438342576
2000-02-05,0.0,0.0,0.0,0.24060416666666667,0.2736875,CS01,0.0,2.5,15.30978,60.5,221.8746534710743
2000-02-06,0.0,0.0,0.0,0.23364583333333333,0.2648125,CS01,0.0,2.0,15.85357,67.125,172.90495197392923
2000-02-07,0.0,0.0,0.0,0.226375,0.2575625,CS01,0.0,4.5,14.38952,73.5,172.29506802721087
2000-02-08,0.0,0.0,0.0,0.22099999999999997,0.2513958333333334,CS01,0.0,5.0,13.09279,83.416667,115.45379342176298
2000-02-09,0.0,0.0,0.0,0.21650000000000003,0.24656250000000002,CS01,0.0,5.6,15.76991,83.583333,115.0721613198292
2000-02-10,0.0,0.0,0.0,0.21102083333333332,0.24225000000000002,CS01,0.0,9.2,13.09279,78.125,176.37666760000002
2000-02-11,0.0,0.0,0.0,0.20377083333333335,0.23812499999999998,CS01,0.0,11.4,14.76599,78.5,255.12420382165607
2000-02-12,0.0,0.0,0.0,0.24906250000000002,0.2768333333333334,CS01,21.34,9.5,7.44574,98.125,22.86464904458594
2000-02-13,0.0,0.0,0.0,0.2492083333333333,0.2755625,CS01,26.67,8.1,6.06535,98.458333,18.36625756690502
2000-02-14,0.0,0.0,0.0,0.2761041666666667,0.3189166666666666,CS01,8.64,11.4,9.28626,80.166667,252.885311330345
2000-02-15,0.0,0.0,0.0,0.24514583333333334,0.28729166666666667,CS01,0.0,8.4,17.52677,69.333333,263.46795432276275
2000-02-16,0.034482759,0.0,0.0,0.23,0.2721041666666667,CS01,0.0,11.2,15.85357,77.458333,265.2010773974944
2000-02-17,0.068965517,0.0,0.0,0.22304166666666664,0.2613125,CS01,0.76,9.2,15.97906,69.5,311.0524594964027
2000-02-18,0.103448276,0.0,0.0,0.2185625,0.25385416666666666,CS01,0.51,11.7,3.26274,95.083333,59.14004777510389
2000-02-19,0.137931034,0.0,0.0,0.2183125,0.2495208333333333,CS01,7.37,12.8,18.32154,74.291667,379.4682469386358
2000-02-20,0.172413793,0.0,0.0,0.22120833333333334,0.2477916666666667,CS01,0.0,4.5,19.07448,68.708333,209.09816879671644
2000-02-21,0.206896552,0.0,0.0,0.2169375,0.24439583333333334,CS01,0.0,4.8,19.15814,68.166667,207.2085323427048
2000-02-22,0.24137931,0.0,0.0,0.21195833333333333,0.24070833333333333,CS01,0.0,6.2,9.16077,67.708333,260.5391081259362
2000-02-23,0.275862069,0.0,0.0,0.2064166666666667,0.23735416666666667,CS01,0.0,8.6,15.30978,64.166667,350.0032416792038
2000-02-24,0.310344828,0.0,0.0,0.20060416666666667,0.23389583333333336,CS01,0.0,11.1,8.86796,77.833333,289.21092635850505
2000-02-25,0.344827586,0.0,0.0,0.19595833333333332,0.23060416666666667,CS01,0.0,13.9,13.46926,81.583333,258.8867874595307
2000-02-26,0.379310345,0.0,0.0,0.19222916666666667,0.22768750000000001,CS01,0.0,13.4,14.51501,78.666667,328.0903799240521
2000-02-27,0.413793103,0.0,0.0,0.23075,0.25187499999999996,CS01,12.45,13.4,4.51764,88.916667,161.40428226324522
2000-02-28,0.448275862,0.0,0.0,0.23270833333333332,0.25375000000000003,CS01,0.0,8.6,20.4967,68.583333,295.38538173860843
2000-02-29,0.482758621,0.0,0.0,0.21895833333333334,0.24202083333333332,CS01,0.0,8.6,19.82742,71.208333,256.27784561198916
2000-03-01,0.517241379,0.0,0.0,0.20887499999999998,0.23627083333333332,CS01,0.0,10.3,13.84573,76.791667,282.1392840285144
